pm_name,pm_Latitude,pm_Longitude,pm_type,pm_LandPublicArea,pm_location
蘭雅1號公園,25.1099324,121.5291121,公園,11110,臺北市士林區忠誠路2段24號旁
蘭雅公園,25.109744,121.529919,公園,7080,臺北市士林區忠誠路2段32巷旁
蘭興公園,25.111029,121.525193,公園,13032,臺北市士林區克強路10巷底
209號綠地,25.092599869,121.52806854,綠地,836,中山北路五段東側5米綠帶(原203號公園區段徵收)
士林116號綠地,25.096460342,121.51360321,綠地,1311,承德路五段
士林117號綠地,25.09703064,121.51390076,綠地,1237,承德路五段
士林118號綠地,25.093179703,121.51946259,綠地,1150,基隆河廢河道，中正路北側
士林120號綠地,25.09305954,121.52044678,綠地,2982,基隆河廢河道，中正路南側
士林121號綠地,25.092269897,121.51580811,綠地,2048,承德路五段
士林128號綠地,25.084669113,121.5223465,綠地,865,前港街10號前
士林130號綠地,25.089599609,121.50258636,綠地,2876,延平北路六段271-1號
士林131號綠地,25.090789795,121.50559235,綠地,805,"永平街46巷1弄,3弄間"
士林132號綠地,25.090660095,121.50682068,綠地,2431,延平北路六段110巷
士林136號綠地,25.086910248,121.51091003,綠地,1369,百齡橋西側引道三角綠地
士林139號綠地,25.084869385,121.50940704,綠地,1474,延平北路五段257巷41號前
士林151號綠地,25.095760345,121.54843903,綠地,2313,自強隧道綠地
士林156號綠地,25.103392,121.554827,綠地,4533,至善國中邊
士林173號綠地 (蘭興1號綠地),25.112800598,121.52619934,綠地,4263,中山北路六段士東路口
士林179號綠地,25.104330063,121.52942657,綠地,382,芝山公園石頭公廟綠地
士林197號綠地,25.136188,121.558964,綠地,4082,永公路245巷34弄
士林199號綠地,25.140520096,121.55845642,綠地,8138,永公路245巷34弄西側
士林200號綠地,25.136980057,121.5616684,綠地,261,永公路245巷34弄東側
士林201號綠地,25.133640289,121.56066895,綠地,2737,永公路245巷34弄西側(往閻錫山墓園小路兩旁)
士林206綠地(番仔田綠地),25.097959518,121.54802704,綠地,1251,故宮路15巷底
士林207綠地(番仔田小綠地),25.096759796,121.54839325,綠地,509,故宮路41巷底
士林208號綠地,25.097330093,121.5337677,綠地,800,"福林路,泰北中學旁"
士林4號綠地(現況因捷運施工故不開放),25.136880875,121.54627228,綠地,248,凱旋路與格致路交叉口
士林68號綠地,25.099069595,121.53643036,綠地,540,福林路、至善路交叉口綠地
士林73號綠地 (天美綠地),25.121599197,121.52597046,綠地,6895,天母西路95巷
士林75號綠地,25.123203,121.529441,綠地,222,天玉街圓環
士林76號綠地,25.124725,121.532776,綠地,355,天母派出所前圓環 (中山北路6段底)
士林79號綠地,25.115579605,121.52677917,綠地,536,中山北路六段405巷21號前.
士林89號綠地,25.105770111,121.52893066,綠地,440,德行東路104巷口
天壽二號(士林80號)綠地,25.113260269,121.52642059,綠地,1681,中山北路六段左側，士東國小對面
天壽公園(士林77),25.1143706298,121.5255595847,綠地,6558,中山北路六段405巷左側(榮華三路至中山北路六段405巷28號間).
天福綠地,25.116750717,121.532547,綠地,1580,天母東路22巷23號對面
永倫綠地,25.091520309,121.50052643,綠地,2912,倫等街
至臨綠地,25.104290009,121.55560303,綠地,4782,外雙溪至善路二段290號
東吳綠地,25.096580505,121.5427475,綠地,4158,臨溪路旁
添壽一號綠地,25.116739273,121.52690125,綠地,288,天母西路32巷底
