name,category,lat,lon,address
翔順餐飲有限公司,餐廳,25.042611,121.580374,臺北市信義區忠孝東路5段711號
芭塔羅蒂思股份有限公司,餐廳,25.051038,121.51602,臺北市大同區長安西路174號
芮秋餐飲股份有限公司,餐廳,25.060832,121.560151,臺北市松山區富錦街405號
慶庵實業有限公司,餐廳,25.066624,121.523326,臺北市中山區德惠街6號1樓
圓蔬食堂有限公司,餐廳,25.066009,121.51629,臺北市大同區昌吉街49號
杰樂娛樂股份有限公司,餐廳,25.085049,121.553791,臺北市中山區北安路780號及地下2樓
黑桃餐飲有限公司,餐廳,25.050443,121.560863,臺北市松山區南京東路5段66巷19號1樓
二五餐飲有限公司,餐廳,25.076464,121.575926,臺北市內湖區江南街118巷1號
世楙國際開發有限公司,餐廳,25.041155,121.55628,臺北市大安區忠孝東路4段300號5樓
洪富有限公司,餐廳,25.058592,121.539277,臺北市中山區合江街69之4號
映壹國際有限公司,餐廳,25.041011,121.547574,臺北市大安區忠孝東路4段126之16號
苑樺有限公司,餐廳,25.036121,121.546913,臺北市大安區東豐街49號1樓
泰瑞實業有限公司,餐廳,25.05167,121.543341,臺北市中山區南京東路3段210號9樓
佳瀧國際有限公司,餐廳,24.987879,121.551998,臺北市文山區木柵路1段225號1樓
太月宇田餐飲股份有限公司,餐廳,25.043153,121.550268,臺北市大安區敦化南路1段177巷17號1樓
蜀叔鍋物股份有限公司,餐廳,25.04051,121.546508,臺北市大安區敦化南路1段236巷38號
基瓦諾國際股份有限公司,餐廳,25.092586,121.528876,臺北市士林區中山北路5段478號8樓
常來飲食有限公司,餐廳,25.04824,121.539353,臺北市中山區長安東路2段162號7樓
俐可股份有限公司,餐廳,25.046921,121.581777,臺北市南港區玉成街66之7號地下1層
和十食飲股份有限公司,餐廳,25.052181,121.537986,臺北市中山區南京東路3段29號1樓
久道有限公司,餐廳,25.120735,121.46914,臺北市北投區知行路260巷52號1樓
日常實習有限公司,餐廳,25.028155,121.554782,臺北市大安區通化街39巷50弄123號1樓
